NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Elfrid Payton,paytoel01,30,PG,1.0,3.3,2.2,1.0,0.5,https://www.basketball-reference.com/players/p/paytoel01.html
Marcus Garrett,garrema01,26,SG,7.0,3.3,1.5,0.8,0.5,https://www.basketball-reference.com/players/g/garrema01.html
Jaylen Sims,simsja01,26,SG,7.0,2.0,1.0,0.5,0.2,https://www.basketball-reference.com/players/s/simsja01.html
Josh Okogie,okogijo01,26,SG,8.9,1.3,2.7,1.8,0.5,https://www.basketball-reference.com/players/o/okogijo01.html
Jusuf Nurkić,nurkiju01,30,C,9.2,2.6,6.5,0.7,0.7,https://www.basketball-reference.com/players/n/nurkiju01.html
Wendell Moore Jr.,moorewe01,23,SG,5.4,1.2,3.2,0.6,0.1,https://www.basketball-reference.com/players/m/moorewe01.html
Moussa Diabaté,diabamo01,23,C,5.7,0.8,6.2,0.6,0.6,https://www.basketball-reference.com/players/d/diabamo01.html
Seth Curry,curryse01,34,SG,6.5,0.9,1.7,0.4,0.1,https://www.basketball-reference.com/players/c/curryse01.html
Isaiah Wong,wongis01,24,SG,6.0,1.4,1.6,0.6,0.0,https://www.basketball-reference.com/players/w/wongis01.html
Taj Gibson,gibsota01,39,C,2.9,0.6,3.2,0.2,0.5,https://www.basketball-reference.com/players/g/gibsota01.html
Malachi Flynn,flynnma01,26,PG,4.0,1.8,1.8,0.8,0.0,https://www.basketball-reference.com/players/f/flynnma01.html
Jared Rhoden,rhodeja01,25,SG,1.0,0.5,1.0,0.3,0.0,https://www.basketball-reference.com/players/r/rhodeja01.html
Donovan Mitchell,mitchdo01,28,SG,24.0,5.0,4.5,1.3,0.2,https://www.basketball-reference.com/players/m/mitchdo01.html
Darius Garland,garlada01,25,PG,20.6,6.7,2.9,1.2,0.1,https://www.basketball-reference.com/players/g/garlada01.html
Evan Mobley,mobleev01,23,PF,18.5,3.2,9.3,0.9,1.6,https://www.basketball-reference.com/players/m/mobleev01.html
Jarrett Allen,allenja01,26,C,13.5,1.9,9.7,0.9,0.9,https://www.basketball-reference.com/players/a/allenja01.html
Max Strus,strusma01,28,SF,9.4,3.2,4.3,0.5,0.2,https://www.basketball-reference.com/players/s/strusma01.html
De'Andre Hunter,huntede01,27,SF,14.3,1.3,4.2,0.7,0.3,https://www.basketball-reference.com/players/h/huntede01.html
Caris LeVert,leverca01,30,SF,10.2,3.7,2.8,0.9,0.5,https://www.basketball-reference.com/players/l/leverca01.html
Dean Wade,wadede01,28,PF,5.4,1.3,4.2,0.7,0.3,https://www.basketball-reference.com/players/w/wadede01.html
Georges Niang,niangge01,31,PF,8.7,1.3,3.7,0.3,0.1,https://www.basketball-reference.com/players/n/niangge01.html
Ty Jerome,jeromty01,27,SG,12.5,3.4,2.5,1.1,0.0,https://www.basketball-reference.com/players/j/jeromty01.html
Sam Merrill,merrisa01,28,SG,7.2,1.5,2.2,0.7,0.2,https://www.basketball-reference.com/players/m/merrisa01.html
